date,equity,cash,positions,regime,gross_exposure
2024-01-26,138143.6490712255,43933.64907122548,12,NEUTRAL,0.6819712714511129
2024-01-29,138087.6490712255,43933.64907122548,12,NEUTRAL,0.6818422982307089
2024-01-30,138055.6490712255,43933.64907122548,12,NEUTRAL,0.6817685522701118
2024-01-31,137146.6490712255,43933.64907122548,12,NEUTRAL,0.6796593327744445
2024-02-01,137871.6490712255,43933.64907122548,12,NEUTRAL,0.681343848665152
2024-02-02,137935.6490712255,43933.64907122548,12,NEUTRAL,0.6814917001728859
2024-02-05,139173.6490712255,43933.64907122548,12,RISK_ON,0.684324946824227
2024-02-06,139682.6490712255,43933.64907122548,12,RISK_ON,0.6854752586427302
2024-02-07,139830.35915022547,1700.3591502254858,12,RISK_ON,0.9878398427883697
2024-02-15,140070.35915022547,1700.3591502254858,12,RISK_ON,0.9878606783009541
2024-02-16,140273.35915022547,1700.3591502254858,12,RISK_ON,0.9878782460153074
2024-02-19,143070.35915022547,1700.3591502254858,12,RISK_ON,0.9881152241433876
2024-02-20,143709.35915022547,1700.3591502254858,12,RISK_ON,0.9881680694961
2024-02-21,142865.35915022547,1700.3591502254858,12,RISK_ON,0.9880981704708591
2024-02-22,142580.35915022547,1700.3591502254858,12,RISK_ON,0.9880743802276867
2024-02-23,140508.99736472548,1892.9973647254883,12,RISK_ON,0.9865275718976789
2024-02-26,141691.99736472548,1892.9973647254883,12,RISK_ON,0.9866400544848501
2024-02-27,143585.99736472548,1892.9973647254883,12,RISK_ON,0.9868162815353294
2024-02-28,145185.99736472548,1892.9973647254883,12,RISK_ON,0.9869615706811585
2024-02-29,144719.99736472548,1892.9973647254883,12,RISK_ON,0.9869195867938366
2024-03-01,146513.99736472548,1892.9973647254883,12,RISK_ON,0.9870797507489122
2024-03-04,146550.99736472548,1892.9973647254883,12,RISK_ON,0.9870830127480175
2024-03-05,148032.99736472548,1892.9973647254883,12,RISK_ON,0.987212328342839
2024-03-06,146303.99736472548,1892.9973647254883,12,RISK_ON,0.9870612054433047
2024-03-07,146885.6171237255,883.6171237254912,12,RISK_ON,0.993984318267314
2024-03-08,146083.6171237255,883.6171237254912,12,RISK_ON,0.9939512921358107
2024-03-11,143864.9055022255,344.9055022254943,12,RISK_ON,0.9976025737408198
2024-03-12,143185.9055022255,344.9055022254943,12,RISK_ON,0.9975912049372755
