symbol,entry_time,exit_time,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars,strategy_ids,family_votes
PNJ,2023-09-08,2023-10-18,52.356165,49.425275000000006,200,10471.233,9865.284890000003,-605.9481099999975,-0.05786788528151341,STOP_LOSS,28,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KDC,2023-08-31,2023-10-23,62.151059999999994,61.60918,100,6215.106,6148.5961640000005,-66.50983599999927,-0.010701319655690388,STOP_LOSS,35,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
KOS,2023-06-19,2023-10-25,38.51925,38.88055,1400,53926.95,54323.90446,396.95446000000084,0.007360966270111713,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_103,qa_013,qa_071,qa_095","mean_reversion,structure,trend,volatility"
PVD,2023-08-31,2023-10-31,24.65232,24.137925,200,4930.464,4817.92983,-112.5341699999999,-0.022824255485893397,STOP_LOSS,41,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
BSI,2023-11-15,2023-11-20,36.788385,34.202890000000004,300,11036.5155,10240.345266,-796.1702339999993,-0.07213963809501281,STOP_LOSS,3,"qa_055,qa_017,qa_013","mean_reversion,structure,trend"
SCS,2023-07-18,2023-11-23,53.476725,54.032970000000006,100,5347.672500000001,5392.490406000001,44.81790600000022,0.00838082474197891,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
VIX,2023-11-15,2023-11-28,10.795395,10.304845,1000,10795.394999999999,10284.235310000002,-511.1596899999968,-0.04734979035042227,STOP_LOSS,9,"qa_055,qa_017,qa_013","mean_reversion,structure,trend"
CTG,2023-07-28,2023-12-05,18.059025,18.240875000000003,600,10835.414999999999,10922.635950000002,87.22095000000263,0.008049617850354844,MAX_HOLDING,90,"qa_055,qa_068,qa_017,qa_103,qa_013","mean_reversion,structure,trend,volatility"
VPI,2023-08-16,2023-12-22,43.191584999999996,45.307335,200,8638.317,9043.344066,405.02706600000056,0.04688726588755664,MAX_HOLDING,90,"qa_055,qa_068,qa_103,qa_013,qa_071,qa_095","mean_reversion,structure,volatility"
BID,2023-11-15,2024-01-19,31.495739999999998,39.130425,300,9448.722,11715.649245,2266.9272450000008,0.2399189271310978,TAKE_PROFIT,46,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
MBB,2023-11-15,2024-02-07,11.945969999999999,14.742625,900,10751.373,13241.825775000001,2490.4527750000016,0.23164044024888744,TAKE_PROFIT,59,"qa_055,qa_068,qa_017,qa_013","mean_reversion,structure,trend,volatility"
