symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_total_pnl_pct,train_profit_factor,router_score,fold,train_start,train_end,test_start,test_end
SHB,rotation_weekly_smt_money_cycle_v1,8,0.625,0.49335995019102435,3.946879601528195,1.338170766722672,0.8867120415385741,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
SSI,composite_edge_score_v2,4,0.75,10.353727679902507,41.41491071961003,11.326684233037238,3.274760937593175,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
TCB,rotation_weekly_smt_money_cycle_v1,6,0.5,3.726465657281555,22.35879394368933,4.042439712103442,2.279950466456258,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
TPB,rotation_monthly_smt_money_cycle_v1,4,0.5,2.202539642174499,8.810158568697997,1.9851695122431965,1.2475040554616532,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
VHM,rotation_weekly_smt_money_cycle_v1,7,0.5714285714285714,0.7312253668393576,5.118577567875503,1.7323457331002972,1.0593127841453174,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
VIB,composite_edge_score_v1,4,0.75,5.731891757158149,22.927567028632595,6.167074035965688,2.9512324230010707,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
VIC,rotation_weekly_smt_money_cycle_v1,4,1.0,1.1666600444587714,4.6666401778350854,inf,2.731666203112114,5,2023-05-08,2024-05-07,2024-05-08,2024-08-07
BID,rotation_weekly_smt_money_cycle_v1,5,1.0,3.14606783558002,15.730339177900099,inf,2.8702247484906014,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
BVH,rotation_weekly_smt_money_cycle_v1,4,0.75,1.7306351595517415,6.922540638206966,8.925452417642067,2.6711444611686224,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
CTG,rotation_weekly_smt_money_cycle_v1,4,0.5,3.4544828897203588,13.817931558881435,4.0286854626913735,2.2547222604915436,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
FPT,composite_edge_score_v2,4,0.75,8.294021241401882,33.17608496560753,7.0116158516733735,3.130581486898132,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
GVR,rotation_monthly_smt_money_cycle_v1,4,0.5,5.494996729482411,21.979986917929644,6.075348417998793,2.834649771063769,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
HPG,rotation_weekly_smt_money_cycle_v1,11,0.45454545454545453,0.4766496561005132,5.243146217105645,1.4990765770602448,0.8897681174223278,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
MBB,rotation_weekly_smt_money_cycle_v1,5,0.6,0.9541202928965424,4.770601464482712,1.3125809611299692,0.897449853011244,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
MSN,rotation_weekly_smt_money_cycle_v1,4,0.75,2.4593763139226663,9.837505255690665,3.007121583355359,1.8253610544844983,6,2023-08-08,2024-08-07,2024-08-08,2024-11-07
