symbol,strategy_id,family,folds,total_return,sharpe_ratio,max_drawdown,win_rate,number_of_trades,test_score,score_std,instability_penalty,final_score,conditions,logic,risk
VIC,qa_051,volume,4,-0.009402440161583175,-1.0705911072628647,-0.12683367213220667,0.3445165945165945,45,-0.5634830201063485,0.9894188826994532,0.08676193348102545,-0.8975996742622373,volume_ratio_20 > 1.5 | volume_ratio_20 > 1.2,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VIC,qa_026,momentum,1,-0.06051691049339991,-1.678591650934008,-0.0921799162096909,0.0,3,-0.8758868818569622,0.0,0.07460590577768987,-0.9504927876346521,mom_10 > 0 | rsi_21 > 55,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_048,qa_broad,1,-0.21182570095252118,-3.7042068958211316,-0.249310118515623,0.125,8,-1.965513181899447,0.0,0.07123699274534116,-2.036750174644788,aroon_osc_14 > 0 | close > vwma20 | mom_10 > 0,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VIC,qa_107,volume,1,-0.17771828826671088,-4.333287113649231,-0.1823263394218244,0.2857142857142857,14,-2.2564243111889937,0.0,0.06541798959024062,-2.321842300779234,volume_ratio_20 > 1.2 | close > vwma20 | obv > obv_ema20,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VJC,qa_070,hybrid,1,0.2142260689812865,0.9920138810694438,-0.3307803025606052,0.375,16,0.49411870071698677,0.0,0.06678051010247721,0.42733819061450956,supertrend_dir > 0 | adx_14 > 20,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_083,volume,1,0.006041489798726873,1.0250933079442024,-0.002059825757575684,1.0,1,0.5139471357602041,0.0,0.09551642424245654,0.4184307115177476,breakout_20_high >= True | volume_ratio_20 > 1.5 | volume > volume_ma20,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_022,hybrid,1,0.0623113957371908,0.7069270302048933,-0.10453066395431243,1.0,3,0.3512508010327414,0.0,0.0558044811100405,0.29544631992270093,adx_14 > 20 | macd_hist > 0,OR,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_068,volatility,2,0.05921313505146886,0.8319011286376943,-0.025599128540304994,0.5,1,0.4285946791262268,0.6061244079812548,0.10736286732507982,0.1697007098058333,kc_width < 0.12 | bb_width < 0.12,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_044,volatility,5,0.03289494927482941,0.5391288549082682,-0.04510871146595881,0.5166666666666667,19,0.2704111699433912,0.3589398369542743,0.06401887759743737,0.11665733310738528,bb_percent < 0.2 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_095,mean_reversion,3,0.026697957757998474,0.24590395426819797,-0.04587785436990036,0.3333333333333333,8,0.12178579358751841,0.41796844704003366,0.058076651054614854,-0.04078296922710486,close <= bb_lower | bb_percent < 0.2 | stoch_k < 25,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_071,mean_reversion,3,0.026697957757998474,0.24590395426819797,-0.04587785436990036,0.3333333333333333,8,0.12178579358751841,0.41796844704003366,0.058076651054614854,-0.04078296922710486,stoch_k < 25 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}"
VJC,qa_087,mean_reversion,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.05181901507804876,-0.05181901507804876,stoch_k < 25 | rsi_14 < 35 | close <= bb_lower,AND,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_097,trend,5,0.006064506275569426,0.1943236492901988,-0.0013890058779181702,0.4,3,0.09870337535218661,0.6077085892839066,0.11588775951782808,-0.16911153148661812,ema20 crosses_above ema50 | aroon_osc_14 > 0,AND,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}"
VJC,qa_063,mean_reversion,7,-0.0010947021971628842,0.20209666407584362,-0.008777236995052475,0.6666666666666667,14,0.09896447397976246,0.9500343636240604,0.040088504744629445,-0.17863262167088206,volume_ratio_20 > 1.0 | close <= bb_lower,AND,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}"
VJC,qa_030,hybrid,2,-0.027748576770296907,-0.21713656492614392,-0.1334114034938219,0.225,9,-0.14357513619292545,0.02216655263774821,0.04909172924135997,-0.19820850359372247,supertrend_dir > 0 | adx_14 > 20,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VJC,qa_039,mean_reversion,1,-0.07723799256878483,-0.09519137582263575,-0.4268605587761255,0.2857142857142857,14,-0.1561391974371784,0.0,0.1008856458023059,-0.2570248432394843,bb_percent < 0.2 | volume_ratio_20 > 1.0 | adx_14 < 25,OR,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}"
VJC,qa_109,structure,1,-0.07089162857814968,-0.16756429614162105,-0.2804165745129342,0.26666666666666666,15,-0.16113295154684226,0.0,0.09865413449009548,-0.25978708603693773,dmp_14 > dmn_14 | rsi_14 > 55,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
VJC,qa_075,volume,8,0.04886584851653103,0.06513348838133745,-0.039922319956114324,0.5731209150326797,43,0.03924203475440518,0.8978782620900545,0.08323593561619853,-0.26846346638430696,close > vwma20 | volume > volume_ma20 | volume_spike >= True,AND,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}"
