strategy,symbol,entry_date,exit_date,entry_price,exit_price,shares,entry_value,exit_value,pnl,pnl_pct,exit_reason,holding_bars
MC_RISK_ON_SMT_TOP,TCB,2025-08-22,2025-08-26,39.469725000000004,37.001490000000004,300,11840.917500000001,11078.246106000002,-762.671393999999,-0.06440982246519317,STOP_LOSS,2
MC_RISK_ON_SMT_TOP,TPB,2025-08-19,2025-09-11,19.339664999999997,18.23088,1100,21273.631499999996,20013.860064,-1259.7714359999954,-0.05921750764555622,STOP_LOSS,15
MC_RISK_ON_SMT_TOP,HDB,2025-08-19,2025-09-24,23.841914999999997,22.198895000000004,900,21457.723499999996,19939.047489000004,-1518.6760109999923,-0.07077526238978671,STOP_LOSS,24
MC_RISK_ON_SMT_TOP,HPG,2025-09-15,2025-10-03,30.265124999999998,28.085950000000004,700,21185.587499999998,19620.844670000006,-1564.742829999992,-0.07385883587132017,STOP_LOSS,14
MC_RISK_ON_SMT_TOP,ACB,2025-08-19,2025-10-20,27.063525,25.587200000000003,800,21650.82,20428.820480000002,-1221.9995199999976,-0.056441258114011274,STOP_LOSS,42
MC_RISK_ON_SMT_TOP,MBB,2025-08-22,2025-10-20,27.763875,26.936525,400,11105.55,10753.06078,-352.4892199999995,-0.031739915627771655,STOP_LOSS,39
MC_RISK_ON_SMT_TOP,SSI,2025-08-27,2025-10-24,35.947964999999996,33.863060000000004,900,32353.168499999996,30415.800492000006,-1937.3680079999904,-0.059881863131890485,STOP_LOSS,40
MC_RISK_ON_SMT_TOP,GVR,2026-01-13,2026-01-20,32.11605,39.180400000000006,400,12846.42,15640.815680000002,2794.3956800000014,0.21752330065496858,TAKE_PROFIT,5
MC_RISK_ON_SMT_TOP,TCB,2026-01-13,2026-01-21,38.11905,35.7821,300,11435.715,10713.16074,-722.5542600000008,-0.0631840037986257,STOP_LOSS,6
MC_RISK_ON_SMT_TOP,PLX,2026-01-14,2026-01-21,47.623799999999996,57.7711,300,14287.14,17296.667339999996,3009.527339999997,0.21064589134004405,TAKE_PROFIT,5
MC_RISK_ON_SMT_TOP,BCM,2026-01-20,2026-01-23,75.927945,72.213875,200,15185.588999999998,14413.889449999999,-771.6995499999994,-0.050817887274573245,STOP_LOSS,3
MC_RISK_ON_SMT_TOP,CTG,2026-01-13,2026-01-26,41.52075,39.030475,300,12456.225,11685.724215,-770.5007850000002,-0.061856684910556785,STOP_LOSS,9
MC_RISK_ON_SMT_TOP,MBB,2026-01-13,2026-01-26,28.264125,26.736625,500,14132.0625,13341.575875,-790.4866249999995,-0.05593568702374473,STOP_LOSS,9
MC_RISK_ON_SMT_TOP,VCB,2026-01-13,2026-01-27,74.33715,69.66515000000001,100,7433.714999999999,6952.581970000001,-481.13302999999814,-0.06472309336583366,STOP_LOSS,10
MC_RISK_ON_SMT_TOP,POW,2026-01-14,2026-01-27,14.907449999999999,13.89305,900,13416.705,12478.73751,-937.9674899999991,-0.0699104206286118,STOP_LOSS,9
MC_RISK_ON_SMT_TOP,BVH,2026-01-14,2026-02-25,68.6343,84.35780000000001,200,13726.859999999999,16837.816880000002,3110.9568800000034,0.22663281187394668,TAKE_PROFIT,25
