symbol,selected_hypothesis,train_trades,train_win_rate,train_avg_trade_pct,train_median_trade_pct,train_profit_factor,train_worst_trade_pct,validation_trades,validation_win_rate,validation_avg_trade_pct,validation_median_trade_pct,validation_profit_factor,validation_worst_trade_pct,router_score,fold,train_start,train_end,validation_start,test_start,test_end
HDB,composite_edge_score_v1,3,1.0,10.017896159066295,10.4672435090025,inf,7.9964038049502015,2,1.0,9.231823656976351,9.231823656976351,inf,7.9964038049502015,0.6914158198059099,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
HPG,rotation_monthly_smt_money_cycle_v1,3,0.3333333333333333,4.555564098281832,-0.6562999680311737,7.078020579706275,-1.592243306152006,1,1.0,15.915235569028678,15.915235569028678,inf,15.915235569028678,0.6341870569107069,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
MBB,rotation_weekly_smt_money_cycle_v1,7,1.0,1.1739489180344211,0.8833164863091886,inf,0.023053644315682773,5,1.0,0.7629518712711166,0.8531436644674247,inf,0.023053644315682773,0.524569898871509,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
PLX,rotation_weekly_smt_money_cycle_v1,4,0.5,2.313652077687968,0.2708923033835715,2.7108882698369703,-3.6588266440256487,2,0.5,5.310617605831613,5.310617605831613,7.067837846642549,-1.750415136347152,0.3667319492314423,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
SHB,rotation_weekly_smt_money_cycle_v1,8,0.875,1.2790019803510835,1.1271601448247832,6.504279893078433,-1.8589199752860148,5,0.8,0.7477701239669574,1.1169496956672764,3.0113026217062004,-1.8589199752860148,0.5098868721096296,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
SSB,composite_edge_score_v1,4,0.5,1.9884218770230089,-0.30357450256190743,2.1114089623722814,-5.8444649658381485,1,1.0,0.7047863977331386,0.7047863977331386,inf,0.7047863977331386,0.24000783872948067,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
SSI,rotation_monthly_smt_money_cycle_v1,3,0.3333333333333333,6.960014005001507,-3.7376897758017322,3.56056121744766,-4.416788966095921,1,1.0,29.034520756902175,29.034520756902175,inf,29.034520756902175,0.5862365323470302,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
STB,mean_reversion_uptrend_ma20_v1,4,1.0,8.938089729593457,6.947826593336989,inf,4.110582644334678,1,1.0,4.90381197710122,4.90381197710122,inf,4.90381197710122,0.6181048760960353,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
TCB,leader_pullback_market_healthy,3,0.6666666666666666,10.224850330055482,14.28743656161744,5.13005623208926,-7.427150931223324,1,1.0,23.814265359772328,23.814265359772328,inf,23.814265359772328,0.7414953835180305,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
TPB,rotation_weekly_smt_money_cycle_v1,4,0.75,1.235980899639421,1.63794576133861,5.585986099037898,-1.078050280090225,2,0.5,0.8181965979231209,0.8181965979231209,2.5179191787875492,-1.078050280090225,0.4390433853495883,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
VHM,composite_edge_score_v1,3,1.0,13.953490842868035,11.958477318717701,inf,2.9708400826042096,2,1.0,14.950997604943202,14.950997604943202,inf,2.9708400826042096,0.8710129602948014,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
VIB,accumulation_breakout_smt_v1,3,0.6666666666666666,5.028561641565463,5.5878051889045715,8.313835618320562,-2.0626229125122766,1,1.0,11.560502648304093,11.560502648304093,inf,11.560502648304093,0.6370738318865976,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
VIC,smart_money_strong_market_healthy,3,0.6666666666666666,16.816302760848995,25.331250932268105,12.371741597882142,-4.436339662514185,2,0.5,12.558828675139436,12.558828675139436,6.661797621700604,-4.436339662514185,0.7590430665849297,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
VPB,breakout_after_accumulation_v3,3,0.6666666666666666,7.058226963228925,9.11752193718335,8.7626561895367,-2.727762298455027,2,1.0,11.951221594070901,11.951221594070901,inf,9.11752193718335,0.6697680628068836,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
VRE,composite_edge_score_v2,3,0.3333333333333333,1.6554690683163307,-0.29975012493752096,1.7099568022914686,-6.695615211262276,3,0.3333333333333333,1.6554690683163307,-0.29975012493752096,1.7099568022914686,-6.695615211262276,0.19470090188204658,10,2024-08-08,2025-08-07,2025-05-08,2025-08-08,2025-11-07
CTG,rotation_weekly_smt_money_cycle_v1,8,0.875,2.989856884165907,3.163827962376497,30.749287122037575,-0.8040143945368265,1,1.0,4.67933488665893,4.67933488665893,inf,4.67933488665893,0.6067005205149587,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
HPG,rotation_weekly_smt_money_cycle_v1,8,0.625,1.1701452908318204,2.1686352313684454,2.448076558170274,-2.6153688317131696,2,1.0,4.152606572683004,4.152606572683004,inf,3.328855156477224,0.4000346667287354,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
MSN,rotation_weekly_smt_money_cycle_v1,3,0.6666666666666666,1.5438780973578563,1.369508244355759,2.649923310928858,-2.807181558921121,2,0.5,1.6310630238589052,1.6310630238589052,2.1620645046455556,-2.807181558921121,0.3105676316063039,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
SSI,rotation_weekly_smt_money_cycle_v1,3,0.6666666666666666,7.083078929241246,4.458568869549938,26.87902836302692,-0.8210987093349412,2,0.5,8.395333959086901,8.395333959086901,21.449024858136248,-0.8210987093349412,0.622771674094254,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
STB,rotation_weekly_smt_money_cycle_v1,8,0.625,2.0470903223920742,0.49025456449217797,5.549908267960249,-1.8935374231179074,3,0.3333333333333333,0.46884258522335265,-0.6545552846352568,1.5519923790018983,-1.8935374231179074,0.46953613406194306,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
TCB,breakout_after_accumulation_v3,4,0.75,5.749664105723024,4.331017809142047,6.175964382857136,-4.4433567779299175,1,1.0,1.3203789355322433,1.3203789355322433,inf,1.3203789355322433,0.4697091181615321,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
TPB,rotation_weekly_smt_money_cycle_v1,6,0.6666666666666666,2.0482864548331756,0.24474207586772267,2.99785020029191,-4.378700656378699,1,1.0,0.18580304003843073,0.18580304003843073,inf,0.18580304003843073,0.3332678002116547,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
VHM,rotation_weekly_smt_money_cycle_v1,5,1.0,4.966219907338716,5.09755663521623,inf,0.19138411090023183,1,1.0,0.19138411090023183,0.19138411090023183,inf,0.19138411090023183,0.5131108785512806,11,2024-11-08,2025-11-07,2025-08-08,2025-11-08,2026-02-07
