hypothesis,symbol,signal_date,entry_date,exit_date,hold,entry_price,exit_price,pnl_pct,holding_bars,rank
leader_pullback_market_healthy,FPT,2026-01-07,2026-01-08,2026-01-22,10,98.1,103.5,5.504587155963309,10,2.6875
leader_pullback_market_healthy,FPT,2026-01-07,2026-01-08,2026-02-05,20,98.1,99.0,0.9174311926605563,20,2.6875
leader_pullback_market_healthy,FPT,2026-01-07,2026-01-08,2026-02-26,30,98.1,90.5,-7.747196738022421,30,2.6875
leader_pullback_market_healthy,FPT,2026-01-07,2026-01-08,2026-04-09,60,98.1,78.3,-20.183486238532108,60,2.6875
leader_pullback_market_healthy,BCM,2026-01-07,2026-01-08,2026-01-22,10,70.38,73.23,4.049445865302655,10,2.5625
leader_pullback_market_healthy,BCM,2026-01-07,2026-01-08,2026-02-05,20,70.38,67.73,-3.76527422563227,20,2.5625
leader_pullback_market_healthy,BCM,2026-01-07,2026-01-08,2026-02-26,30,70.38,66.0,-6.223358908780898,30,2.5625
leader_pullback_market_healthy,BCM,2026-01-07,2026-01-08,2026-04-09,60,70.38,55.2,-21.568627450980383,60,2.5625
leader_pullback_market_healthy,POW,2026-01-07,2026-01-08,2026-01-22,10,14.1,14.8,4.964539007092207,10,2.21875
leader_pullback_market_healthy,POW,2026-01-07,2026-01-08,2026-02-05,20,14.1,14.2,0.7092198581560258,20,2.21875
leader_pullback_market_healthy,POW,2026-01-07,2026-01-08,2026-02-26,30,14.1,14.1,0.0,30,2.21875
leader_pullback_market_healthy,POW,2026-01-07,2026-01-08,2026-04-09,60,14.1,13.0,-7.80141843971631,60,2.21875
leader_pullback_market_healthy,VCB,2026-01-08,2026-01-09,2026-01-23,10,65.4,68.6,4.892966360856251,10,4.0
leader_pullback_market_healthy,VCB,2026-01-08,2026-01-09,2026-02-06,20,65.4,65.1,-0.4587155963302926,20,4.0
leader_pullback_market_healthy,VCB,2026-01-08,2026-01-09,2026-02-27,30,65.4,64.9,-0.7645259938837919,30,4.0
leader_pullback_market_healthy,VCB,2026-01-08,2026-01-09,2026-04-10,60,65.4,59.8,-8.562691131498484,60,4.0
leader_pullback_market_healthy,POW,2026-01-09,2026-01-12,2026-01-26,10,14.55,14.0,-3.7800687285223415,10,3.5714285714285716
leader_pullback_market_healthy,POW,2026-01-09,2026-01-12,2026-02-09,20,14.55,13.45,-7.560137457044683,20,3.5714285714285716
leader_pullback_market_healthy,POW,2026-01-09,2026-01-12,2026-03-02,30,14.55,15.5,6.529209621993122,30,3.5714285714285716
leader_pullback_market_healthy,POW,2026-01-09,2026-01-12,2026-04-13,60,14.55,13.1,-9.965635738831622,60,3.5714285714285716
leader_pullback_market_healthy,BCM,2026-01-09,2026-01-12,2026-01-26,10,69.79,66.94,-4.083679610259361,10,3.1428571428571423
leader_pullback_market_healthy,BCM,2026-01-09,2026-01-12,2026-02-09,20,69.79,63.01,-9.7148588623012,20,3.1428571428571423
leader_pullback_market_healthy,BCM,2026-01-09,2026-01-12,2026-03-02,30,69.79,65.0,-6.86344748531309,30,3.1428571428571423
leader_pullback_market_healthy,BCM,2026-01-09,2026-01-12,2026-04-13,60,69.79,55.4,-20.618999856713003,60,3.1428571428571423
leader_pullback_market_healthy,GVR,2026-01-09,2026-01-12,2026-01-26,10,32.3,38.65,19.65944272445821,10,2.5714285714285716
leader_pullback_market_healthy,GVR,2026-01-09,2026-01-12,2026-02-09,20,32.3,38.65,19.65944272445821,20,2.5714285714285716
leader_pullback_market_healthy,GVR,2026-01-09,2026-01-12,2026-03-02,30,32.3,42.8,32.5077399380805,30,2.5714285714285716
leader_pullback_market_healthy,GVR,2026-01-09,2026-01-12,2026-04-13,60,32.3,32.6,0.928792569659456,60,2.5714285714285716
leader_pullback_market_healthy,PLX,2026-01-09,2026-01-12,2026-01-26,10,44.0,57.0,29.545454545454547,10,2.571428571428571
leader_pullback_market_healthy,PLX,2026-01-09,2026-01-12,2026-02-09,20,44.0,57.3,30.227272727272723,20,2.571428571428571
leader_pullback_market_healthy,PLX,2026-01-09,2026-01-12,2026-03-02,30,44.0,61.8,40.454545454545446,30,2.571428571428571
leader_pullback_market_healthy,PLX,2026-01-09,2026-01-12,2026-04-13,60,44.0,40.7,-7.499999999999994,60,2.571428571428571
leader_pullback_market_healthy,CTG,2026-01-09,2026-01-12,2026-01-26,10,42.0,38.2,-9.04761904761904,10,1.857142857142857
leader_pullback_market_healthy,CTG,2026-01-09,2026-01-12,2026-02-09,20,42.0,37.1,-11.666666666666664,20,1.857142857142857
leader_pullback_market_healthy,CTG,2026-01-09,2026-01-12,2026-03-02,30,42.0,36.85,-12.26190476190476,30,1.857142857142857
leader_pullback_market_healthy,CTG,2026-01-09,2026-01-12,2026-04-13,60,42.0,34.8,-17.14285714285715,60,1.857142857142857
leader_pullback_market_healthy,ACB,2026-01-12,2026-01-13,2026-01-27,10,25.7,24.7,-3.8910505836575875,10,3.6666666666666665
leader_pullback_market_healthy,ACB,2026-01-12,2026-01-13,2026-02-10,20,25.7,23.0,-10.505836575875485,20,3.6666666666666665
leader_pullback_market_healthy,ACB,2026-01-12,2026-01-13,2026-03-03,30,25.7,23.5,-8.56031128404669,30,3.6666666666666665
leader_pullback_market_healthy,ACB,2026-01-12,2026-01-13,2026-04-14,60,25.7,24.0,-6.614785992217897,60,3.6666666666666665
leader_pullback_market_healthy,MBB,2026-01-12,2026-01-13,2026-01-27,10,28.25,26.5,-6.1946902654867255,10,2.583333333333333
leader_pullback_market_healthy,MBB,2026-01-12,2026-01-13,2026-02-10,20,28.25,27.85,-1.4159292035398179,20,2.583333333333333
leader_pullback_market_healthy,MBB,2026-01-12,2026-01-13,2026-03-03,30,28.25,27.05,-4.247787610619467,30,2.583333333333333
leader_pullback_market_healthy,MBB,2026-01-12,2026-01-13,2026-04-14,60,28.25,26.7,-5.4867256637168165,60,2.583333333333333
leader_pullback_market_healthy,TCB,2026-01-12,2026-01-13,2026-01-27,10,38.1,34.95,-8.267716535433067,10,1.75
leader_pullback_market_healthy,TCB,2026-01-12,2026-01-13,2026-02-10,20,38.1,34.6,-9.186351706036746,20,1.75
leader_pullback_market_healthy,TCB,2026-01-12,2026-01-13,2026-03-03,30,38.1,33.6,-11.811023622047244,30,1.75
leader_pullback_market_healthy,TCB,2026-01-12,2026-01-13,2026-04-14,60,38.1,32.05,-15.879265091863529,60,1.75
leader_pullback_market_healthy,POW,2026-01-13,2026-01-14,2026-01-28,10,14.9,13.8,-7.382550335570468,10,3.5
leader_pullback_market_healthy,POW,2026-01-13,2026-01-14,2026-02-11,20,14.9,13.2,-11.40939597315437,20,3.5
leader_pullback_market_healthy,POW,2026-01-13,2026-01-14,2026-03-04,30,14.9,15.45,3.6912751677852276,30,3.5
leader_pullback_market_healthy,POW,2026-01-13,2026-01-14,2026-04-15,60,14.9,13.05,-12.416107382550333,60,3.5
leader_pullback_market_healthy,BVH,2026-01-13,2026-01-14,2026-01-28,10,68.6,68.8,0.29154518950437736,10,3.0
leader_pullback_market_healthy,BVH,2026-01-13,2026-01-14,2026-02-11,20,68.6,78.3,14.139941690962104,20,3.0
leader_pullback_market_healthy,BVH,2026-01-13,2026-01-14,2026-03-04,30,68.6,80.0,16.618075801749278,30,3.0
leader_pullback_market_healthy,BVH,2026-01-13,2026-01-14,2026-04-15,60,68.6,74.0,7.871720116618085,60,3.0
leader_pullback_market_healthy,GVR,2026-01-13,2026-01-14,2026-01-28,10,34.3,38.2,11.370262390670572,10,1.75
leader_pullback_market_healthy,GVR,2026-01-13,2026-01-14,2026-02-11,20,34.3,35.3,2.915451895043732,20,1.75
leader_pullback_market_healthy,GVR,2026-01-13,2026-01-14,2026-03-04,30,34.3,43.6,27.113702623906722,30,1.75
leader_pullback_market_healthy,GVR,2026-01-13,2026-01-14,2026-04-15,60,34.3,33.0,-3.7900874635568433,60,1.75
leader_pullback_market_healthy,PLX,2026-01-13,2026-01-14,2026-01-28,10,47.6,58.9,23.73949579831932,10,1.75
leader_pullback_market_healthy,PLX,2026-01-13,2026-01-14,2026-02-11,20,47.6,51.7,8.613445378151262,20,1.75
leader_pullback_market_healthy,PLX,2026-01-13,2026-01-14,2026-03-04,30,47.6,69.5,46.008403361344534,30,1.75
leader_pullback_market_healthy,PLX,2026-01-13,2026-01-14,2026-04-15,60,47.6,39.8,-16.38655462184875,60,1.75
leader_pullback_market_healthy,BCM,2026-01-14,2026-01-15,2026-01-29,10,74.31,64.88,-12.690082088547983,10,3.75
leader_pullback_market_healthy,BCM,2026-01-14,2026-01-15,2026-02-12,20,74.31,62.8,-15.489167003095147,20,3.75
leader_pullback_market_healthy,BCM,2026-01-14,2026-01-15,2026-03-05,30,74.31,59.0,-20.602879827748623,30,3.75
