symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,confluence_score,reasons
SSI,PV_BREAKOUT,2023-01-19,2023-01-27,14.35,14.0,15.0,2023-01-27,14.0,SL,-2.44,0,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2023-04-03,2023-04-04,14.75,14.0,16.0,2023-04-25,14.0,SL,-5.08,15,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2023-05-12,2023-05-15,15.68,15.0,17.0,2023-05-17,15.0,SL,-4.34,2,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2023-07-10,2023-07-11,19.0,18.0,20.0,2023-09-11,23.0,REVERSAL_DOUBLE_TOP,22.26,42,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2023-12-04,2023-12-05,23.34,22.0,25.0,2023-12-15,22.0,SL,-5.74,8,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2024-09-25,2024-09-26,24.38,24.0,25.0,2024-10-17,24.0,SL,-1.56,15,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_BREAKOUT,2024-12-25,2024-12-26,23.54,23.0,24.0,2025-01-03,23.0,SL,-2.29,5,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2025-02-24,2025-02-25,23.01,23.0,23.0,2025-02-25,23.0,SL,-0.04,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2025-03-06,2025-03-07,24.07,23.0,26.0,2025-04-01,23.0,SL,-4.45,17,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2025-07-02,2025-07-03,22.65,22.0,24.0,2025-09-29,34.0,TSL,50.11,60,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSI,PV_WASHOUT,2025-10-21,2025-10-22,35.34,34.0,37.0,2025-10-22,34.0,SL,-3.79,0,25.0,"pv_signal=washout | pv_score=25 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,ABSORPTION"
SSI,PV_BREAKOUT,2026-01-12,2026-01-13,33.55,32.0,36.0,2026-01-16,32.0,SL,-4.62,3,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSI,PV_BREAKOUT,2026-03-04,2026-03-05,34.3,33.0,36.0,2026-03-06,33.0,SL,-3.79,1,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSB,PV_BREAKOUT,2021-05-14,2021-05-17,14.97,14.0,16.0,2021-07-01,20.0,REVERSAL_MA20_BREAK,34.8,33,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSB,PV_BREAKOUT,2021-12-24,2021-12-27,23.67,23.0,25.0,2022-01-06,25.0,REVERSAL_DOUBLE_TOP,5.91,7,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSB,PV_BREAKOUT,2023-06-23,2023-06-26,23.9,23.0,25.0,2023-07-27,26.0,TSL,8.79,23,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSB,PV_BREAKOUT,2023-08-02,2023-08-03,26.67,26.0,28.0,2023-08-04,26.0,SL,-2.51,1,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SSB,PV_BREAKOUT,2024-08-22,2024-08-23,19.65,19.0,21.0,2024-08-30,19.0,SL,-3.31,5,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SSB,PV_BREAKOUT,2025-01-15,2025-01-16,17.7,17.0,19.0,2025-03-18,20.0,REVERSAL_DOUBLE_TOP,11.3,38,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2021-01-12,2021-01-13,80.25,78.0,84.0,2021-01-15,78.0,SL,-2.8,2,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SAB,PV_BREAKOUT,2022-02-14,2022-02-15,66.42,63.0,72.0,2022-03-07,63.0,SL,-5.28,14,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2022-04-06,2022-04-07,67.43,65.0,71.0,2022-04-08,65.0,SL,-4.26,1,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_WASHOUT,2022-04-26,2022-04-27,66.91,64.0,71.0,2022-04-29,64.0,SL,-4.35,2,55.0,"pv_signal=washout | pv_score=55 | pv_bias=bullish | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2022-07-20,2022-07-21,63.9,62.0,67.0,2022-09-19,74.0,REVERSAL_MA20_BREAK,15.84,40,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SAB,PV_BREAKOUT,2023-01-13,2023-01-16,76.17,73.0,81.0,2023-04-04,73.0,SL,-4.16,51,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SAB,PV_BREAKOUT,2023-07-25,2023-07-26,64.92,64.0,66.0,2023-08-17,64.0,SL,-1.42,16,35.0,"pv_signal=breakout_confirmed | pv_score=35 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2023-09-11,2023-09-12,69.85,68.0,73.0,2023-09-18,68.0,SL,-2.65,4,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
SAB,PV_WASHOUT,2023-11-01,2023-11-02,47.61,45.0,52.0,2023-11-02,50.0,REVERSAL_MA20_BREAK,6.05,0,30.0,"pv_signal=washout | pv_score=30 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2024-05-28,2024-05-29,51.37,50.0,53.0,2024-05-30,50.0,SL,-2.67,1,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2024-06-04,2024-06-05,52.23,50.0,56.0,2024-06-20,52.0,TSL,-0.44,11,35.0,"pv_signal=breakout_confirmed | pv_score=35 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2025-11-13,2025-11-14,45.46,45.0,46.0,2025-11-18,45.0,SL,-1.01,2,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2025-12-01,2025-12-02,47.0,46.0,48.0,2025-12-12,48.0,REVERSAL_DOUBLE_TOP,2.04,8,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2026-01-14,2026-01-15,55.0,53.0,58.0,2026-01-15,53.0,SL,-3.64,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
SAB,PV_BREAKOUT,2026-04-23,2026-04-24,48.1,47.0,50.0,2026-04-24,47.0,SL,-2.29,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-03-02,2021-03-03,10.31,10.0,11.0,2021-03-04,10.0,SL,-3.01,1,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TPB,PV_BREAKOUT,2021-05-10,2021-05-11,11.06,11.0,11.0,2021-05-11,11.0,SL,-0.54,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-07-05,2021-07-06,13.55,13.0,14.0,2021-07-06,13.0,SL,-4.06,0,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-08-11,2021-08-12,12.74,12.0,14.0,2021-08-20,12.0,SL,-5.81,6,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-09-17,2021-09-20,14.15,13.0,16.0,2021-11-04,15.0,REVERSAL_DOUBLE_TOP,6.78,33,55.0,"pv_signal=breakout_confirmed | pv_score=55 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-11-22,2021-11-23,16.4,16.0,17.0,2021-11-30,16.0,SL,-2.44,5,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TPB,PV_BREAKOUT,2021-12-08,2021-12-09,17.64,17.0,19.0,2021-12-23,17.0,SL,-3.63,10,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2021-12-28,2021-12-29,19.59,19.0,20.0,2021-12-30,19.0,SL,-3.01,1,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2022-01-04,2022-01-05,19.82,19.0,21.0,2022-01-10,19.0,SL,-4.14,3,65.0,"pv_signal=breakout_confirmed | pv_score=65 | pv_bias=bullish | pv_tags=HIGH_CONVICTION_BREAKOUT,BULLISH_VOLUME_EXPANSION"
TPB,PV_WASHOUT,2022-05-10,2022-05-11,15.51,15.0,16.0,2022-05-11,15.0,SL,-3.29,0,45.0,"pv_signal=washout | pv_score=45 | pv_bias=bullish | pv_tags=WASHOUT_REVERSAL,BULLISH_VOLUME_EXPANSION"
TPB,PV_BREAKOUT,2022-07-20,2022-07-21,13.3,13.0,14.0,2022-07-25,13.0,SL,-3.38,2,40.0,pv_signal=breakout_confirmed | pv_score=40 | pv_bias=bullish | pv_tags=BULLISH_VOLUME_EXPANSION
TPB,PV_WASHOUT,2022-10-06,2022-10-07,10.74,10.0,12.0,2022-10-10,10.0,SL,-9.68,1,25.0,"pv_signal=washout | pv_score=25 | pv_bias=neutral | pv_tags=WASHOUT_REVERSAL,ABSORPTION"
