symbol,setup_type,signal_date,entry_date,entry_price,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl_pct,holding_bars,reasons
SHB,MONEY_IN,2023-03-09,2023-03-10,6.27,6.0,7.0,2023-03-13,6.0,DIST_EXIT,-2.71,1,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
SHB,MONEY_IN,2023-03-15,2023-03-16,6.24,6.0,7.0,2023-03-20,6.0,DIST_EXIT,-0.48,2,regime=MONEY_IN | score=4 | mkt=SIDEWAY | money_in
SHB,BREAKOUT_FLOW,2023-03-23,2023-03-24,6.51,6.0,7.0,2023-03-28,7.0,DIST_EXIT,2.3,2,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SHB,BREAKOUT_FLOW,2023-04-04,2023-04-05,7.01,7.0,7.0,2023-04-05,7.0,SL,-0.14,0,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SHB,BREAKOUT_FLOW,2023-04-05,2023-04-06,7.16,7.0,7.0,2023-04-06,7.0,SL,-2.23,0,regime=BREAKOUT_FLOW | score=7 | mkt=SIDEWAY | breakout_flow | money_in
SHB,BREAKOUT_FLOW,2023-04-10,2023-04-11,7.3,7.0,8.0,2023-04-14,7.0,DIST_EXIT,-1.1,3,regime=BREAKOUT_FLOW | score=8 | mkt=SIDEWAY | breakout_flow | money_in
SHB,MONEY_IN,2023-05-19,2023-05-22,7.25,7.0,8.0,2023-06-02,8.0,DIST_EXIT,3.72,9,regime=MONEY_IN | score=5 | mkt=SIDEWAY | money_in
SHB,BREAKOUT_FLOW,2023-06-05,2023-06-06,7.49,7.0,8.0,2023-06-07,8.0,DIST_EXIT,0.8,1,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
SHB,MONEY_IN,2023-06-14,2023-06-15,7.69,7.0,9.0,2023-07-04,8.0,TSL,4.03,13,regime=MONEY_IN | score=4 | mkt=UPTREND | money_in
SHB,BREAKOUT_FLOW,2023-08-04,2023-08-07,9.65,9.0,11.0,2023-08-18,9.0,SL,-6.74,9,regime=BREAKOUT_FLOW | score=8 | mkt=UPTREND | breakout_flow | money_in
