strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
SMT_SCORE_RS_QUALITY,VHM,2021-06-28,2021-06-29,2021-07-27,85.53,79.44,-7.120308663626801,20,NEUTRAL,74.04123711340206
SMT_SCORE_RS_QUALITY,VCB,2021-06-30,2021-07-01,2021-07-29,50.82,42.61,-16.155057064147975,20,NEUTRAL,81.78350515463917
SMT_SCORE_RS_QUALITY,VJC,2021-06-30,2021-07-01,2021-07-29,121.5,114.4,-5.84362139917695,20,NEUTRAL,71.87628865979381
SMT_SCORE_RS_QUALITY,MWG,2021-07-02,2021-07-05,2021-08-02,51.47,54.35,5.595492519914518,20,HOT_BUT_STRONG,87.89175257731958
SMT_SCORE_RS_QUALITY,ACB,2021-07-05,2021-07-06,2021-08-03,17.82,16.79,-5.780022446689119,20,NEUTRAL,73.81443298969072
SMT_SCORE_RS_QUALITY,FPT,2021-07-05,2021-07-06,2021-08-03,46.46,48.11,3.5514421007318093,20,NEUTRAL,78.36082474226804
SMT_SCORE_RS_QUALITY,TCB,2021-07-05,2021-07-06,2021-08-03,27.31,24.47,-10.399121201025267,20,NEUTRAL,81.0721649484536
SMT_SCORE_RS_QUALITY,HDB,2021-07-07,2021-07-08,2021-08-05,11.87,11.57,-2.527379949452392,20,NEUTRAL,82.04896907216495
SMT_SCORE_RS_QUALITY,MSN,2021-07-07,2021-07-08,2021-08-05,95.01,111.5,17.356067782338695,20,HOT_BUT_STRONG,84.89175257731958
SMT_SCORE_RS_QUALITY,MWG,2021-08-02,2021-08-03,2021-08-31,54.35,53.42,-1.7111315547378099,20,NEUTRAL,79.5798969072165
SMT_SCORE_RS_QUALITY,SSI,2021-08-03,2021-08-04,2021-09-01,23.66,25.28,6.846999154691467,20,NEUTRAL,82.8221649484536
SMT_SCORE_RS_QUALITY,FPT,2021-08-04,2021-08-05,2021-09-06,47.81,48.17,0.7529805480025087,20,NEUTRAL,72.59536082474227
SMT_SCORE_RS_QUALITY,SHB,2021-08-06,2021-08-09,2021-09-08,12.49,11.44,-8.406725380304248,20,NEUTRAL,77.84536082474227
SMT_SCORE_RS_QUALITY,VJC,2021-08-25,2021-08-26,2021-09-27,125.8,129.0,2.5437201907790166,20,NEUTRAL,84.12244897959184
SMT_SCORE_RS_QUALITY,GVR,2021-08-27,2021-08-30,2021-09-29,34.91,33.12,-5.1274706387854465,20,NEUTRAL,74.52577319587628
SMT_SCORE_RS_QUALITY,POW,2021-08-27,2021-08-30,2021-09-29,9.75,9.92,1.743589743589743,20,HOT_AND_EXHAUSTED,73.03350515463917
SMT_SCORE_RS_QUALITY,BCM,2021-08-31,2021-09-01,2021-10-01,44.21,41.39,-6.378647364849582,20,NEUTRAL,79.13297872340425
SMT_SCORE_RS_QUALITY,MWG,2021-09-13,2021-09-14,2021-10-12,59.67,63.59,6.5694653929948075,20,HOT_BUT_STRONG,84.40816326530611
SMT_SCORE_RS_QUALITY,SAB,2021-09-14,2021-09-15,2021-10-13,64.88,62.92,-3.0209617755856875,20,HOT_BUT_STRONG,76.40306122448979
SMT_SCORE_RS_QUALITY,MSN,2021-09-15,2021-09-16,2021-10-14,121.42,117.36,-3.343765442266515,20,NEUTRAL,80.90816326530611
SMT_SCORE_RS_QUALITY,VRE,2021-09-16,2021-09-17,2021-10-15,30.2,30.5,0.993377483443711,20,HOT_AND_EXHAUSTED,71.87244897959184
