date,equity,cash,positions,gross_exposure,portfolio_run
2025-04-03,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-04,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-08,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-09,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-10,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-11,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-14,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-15,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-16,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-17,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-18,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-21,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-22,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-23,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-24,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-25,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-28,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-04-29,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-05,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-06,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-07,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-08,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-09,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-12,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-13,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-14,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-15,107062.29974500081,107062.29974500081,0,0.0,leader_pullback_market_healthy
2025-05-16,106685.99632300083,32105.99632300083,1,0.6990608193244292,leader_pullback_market_healthy
2025-05-19,106157.99632300083,32105.99632300083,1,0.6975640325264452,leader_pullback_market_healthy
2025-05-20,106157.99632300083,32105.99632300083,1,0.6975640325264452,leader_pullback_market_healthy
2025-05-21,106949.99632300083,32105.99632300083,1,0.6998036706234457,leader_pullback_market_healthy
2025-05-22,106685.99632300083,32105.99632300083,1,0.6990608193244292,leader_pullback_market_healthy
2025-05-23,106762.96116700083,106762.96116700083,0,0.0,leader_pullback_market_healthy
2025-05-26,106762.96116700083,106762.96116700083,0,0.0,leader_pullback_market_healthy
2025-05-27,106712.77411600083,38558.77411600084,5,0.6386676812085685,leader_pullback_market_healthy
2025-05-28,106546.77411600083,38558.77411600084,5,0.638104725028834,leader_pullback_market_healthy
2025-05-29,107244.13945300085,5376.139453000847,6,0.9498700863243262,leader_pullback_market_healthy
2025-05-30,106395.13945300085,5376.139453000847,6,0.9494700652619971,leader_pullback_market_healthy
2025-06-02,106342.13945300085,5376.139453000847,6,0.9494448815807688,leader_pullback_market_healthy
2025-06-03,106983.13945300085,5376.139453000847,6,0.9497477875440115,leader_pullback_market_healthy
2025-06-04,107007.63428500085,3036.634285000848,7,0.9716222650347248,leader_pullback_market_healthy
2025-06-05,106740.98894900085,17663.98894900085,6,0.834515408533076,leader_pullback_market_healthy
2025-06-06,105138.46876100086,27451.46876100085,5,0.7389017636978991,leader_pullback_market_healthy
2025-06-09,101766.76758900085,2250.767589000854,5,0.9778830787070796,leader_pullback_market_healthy
2025-06-10,101664.03939400085,36470.03939400085,3,0.6412690307074997,leader_pullback_market_healthy
2025-06-11,100725.03939400085,36470.03939400085,3,0.6379247939398375,leader_pullback_market_healthy
2025-06-12,100245.03939400085,36470.03939400085,3,0.6361910812298669,leader_pullback_market_healthy
2025-06-13,102657.00530400086,5835.005304000861,4,0.9431601838888489,leader_pullback_market_healthy
2025-06-16,106469.00530400086,5835.005304000861,4,0.9451952679811352,leader_pullback_market_healthy
2025-06-17,105852.00530400086,5835.005304000861,4,0.9448758170689061,leader_pullback_market_healthy
2025-06-18,106349.00530400086,5835.005304000861,4,0.9451334284949692,leader_pullback_market_healthy
2025-06-19,106866.28551000089,2004.285510000882,4,0.9812449220964705,leader_pullback_market_healthy
2025-06-20,104993.62311000089,927.6231100008827,4,0.9911649576181496,leader_pullback_market_healthy
2025-06-23,107128.62311000089,927.6231100008827,4,0.9913410339545913,leader_pullback_market_healthy
2025-06-24,105347.62311000089,927.6231100008827,4,0.9911946460431073,leader_pullback_market_healthy
2025-06-25,104898.62311000089,927.6231100008827,4,0.991156956283133,leader_pullback_market_healthy
2025-06-26,106260.62311000089,927.6231100008827,4,0.9912703023674102,leader_pullback_market_healthy
2025-06-27,107571.62311000089,927.6231100008827,4,0.9913766931911744,leader_pullback_market_healthy
2025-06-30,107673.62311000089,927.6231100008827,4,0.9913848621119286,leader_pullback_market_healthy
2025-07-01,106278.62311000089,927.6231100008827,4,0.9912717808825884,leader_pullback_market_healthy
2025-07-02,106593.67432800088,1439.6743280008814,4,0.9864938108468723,leader_pullback_market_healthy
2025-07-03,103476.67432800088,1439.6743280008814,4,0.9860869675475132,leader_pullback_market_healthy
2025-07-04,103580.17660750089,1575.1766075008927,3,0.9847926827401564,leader_pullback_market_healthy
