date,equity,cash,positions,regime,gross_exposure
2024-04-02,96232.02192650022,1316.0219265002306,8,RISK_ON,0.9863244905369922
2024-04-03,95610.02192650022,1316.0219265002306,8,NEUTRAL,0.986235523222535
2024-04-04,95452.02192650022,1316.0219265002306,8,NEUTRAL,0.98621273913387
2024-04-05,94702.02192650022,1316.0219265002306,8,NEUTRAL,0.9861035498532269
2024-04-08,94396.74144850022,25776.74144850023,6,NEUTRAL,0.726931872298122
2024-04-09,94809.74144850022,25776.74144850023,6,NEUTRAL,0.7281213823106784
2024-04-10,95226.74144850022,25776.74144850023,6,NEUTRAL,0.7293119447708857
2024-04-11,95002.74144850022,25776.74144850023,6,NEUTRAL,0.7286737092479224
2024-04-12,95425.74144850022,25776.74144850023,6,NEUTRAL,0.7298764352550352
2024-04-15,93384.50547600024,34970.50547600024,7,NEUTRAL,0.6255213292853209
2024-04-16,92824.78673750024,28483.78673750024,8,NEUTRAL,0.6931446035200737
2024-04-17,91460.91658650024,30826.91658650024,7,RISK_OFF,0.6629498398111359
2024-04-19,90109.19069250024,69835.19069250024,4,RISK_OFF,0.2249936975816985
2024-04-22,90232.19069250024,69835.19069250024,4,RISK_OFF,0.22605014733057258
2024-04-23,90138.19069250024,69835.19069250024,4,RISK_OFF,0.22524303898291215
2024-04-24,90764.19069250024,69835.19069250024,4,RISK_OFF,0.23058653242340146
2024-04-25,90846.19069250024,69835.19069250024,4,RISK_OFF,0.23128102389145694
2024-04-26,91686.59633400023,32061.59633400024,8,NEUTRAL,0.6503131579101841
2024-05-02,92194.69107250025,32039.691072500245,8,NEUTRAL,0.6524779171145026
2024-05-03,92995.69107250025,32039.691072500245,8,NEUTRAL,0.6554712298710503
2024-05-06,94304.69107250025,32039.691072500245,8,NEUTRAL,0.660253475112192
2024-05-07,95260.69107250025,32039.691072500245,8,RISK_ON,0.6636630417879739
2024-05-08,95274.69107250025,32039.691072500245,8,RISK_ON,0.6637124643299098
2024-05-09,94998.69107250025,32039.691072500245,8,RISK_ON,0.6627354470805447
2024-05-10,94877.69107250025,32039.691072500245,8,RISK_ON,0.6623053247784318
2024-05-13,94585.69107250025,32039.691072500245,8,RISK_ON,0.6612628114336901
2024-05-14,94527.69107250025,32039.691072500245,8,RISK_ON,0.6610549701470371
2024-05-15,95267.69107250025,32039.691072500245,8,RISK_ON,0.663687754874656
2024-05-16,96219.69107250025,32039.691072500245,8,RISK_ON,0.6670152365344971
2024-05-17,96110.69107250025,32039.691072500245,8,RISK_ON,0.6666375955164926
2024-05-20,96045.69107250025,32039.691072500245,8,RISK_ON,0.6664119887656903
2024-05-21,95749.69107250025,32039.691072500245,8,RISK_ON,0.6653807368606519
2024-05-22,95091.69107250025,32039.691072500245,8,RISK_ON,0.6630652929699988
2024-05-23,95863.69107250025,32039.691072500245,8,RISK_ON,0.6657786622437778
2024-05-24,94472.69107250025,32039.691072500245,8,RISK_ON,0.6608576435288337
2024-05-27,95779.36047150026,3768.360471500251,8,RISK_ON,0.9606558192396623
2024-05-28,97057.36047150026,3768.360471500251,8,RISK_ON,0.9611738826072156
2024-05-29,95072.36047150026,3768.360471500251,8,RISK_ON,0.9603632385604868
2024-05-30,94474.36047150026,3768.360471500251,8,RISK_ON,0.9601123473851189
2024-05-31,94598.36047150026,3768.360471500251,8,RISK_ON,0.9601646323179612
2024-06-03,95887.36047150026,3768.360471500251,8,RISK_ON,0.9607001334381261
2024-06-04,96496.36047150026,3768.360471500251,8,RISK_ON,0.9609481595669794
2024-06-05,97284.36047150026,3768.360471500251,8,RISK_ON,0.9612644781418468
2024-06-06,96913.36047150026,3768.360471500251,8,RISK_ON,0.9611161923065454
2024-06-07,97286.36047150026,3768.360471500251,8,RISK_ON,0.9612652744615297
2024-06-10,97470.36047150026,3768.360471500251,8,RISK_ON,0.9613383960696226
2024-06-11,96611.36047150026,3768.360471500251,8,RISK_ON,0.9609946443864446
2024-06-12,97678.52255850026,2059.5225585002554,8,RISK_ON,0.9789152978100503
2024-06-13,97550.52255850026,2059.5225585002554,8,RISK_ON,0.9788876317165274
2024-06-14,95633.52255850026,2059.5225585002554,8,RISK_ON,0.9784644285455404
2024-06-17,95152.52255850026,2059.5225585002554,8,RISK_ON,0.9783555653268776
2024-06-18,96101.52255850026,2059.5225585002554,8,RISK_ON,0.9785693035482704
2024-06-19,96423.52255850026,2059.5225585002554,8,RISK_ON,0.9786408699469494
2024-06-20,96219.52255850026,2059.5225585002554,8,RISK_ON,0.9785955853475775
2024-06-21,95571.52255850026,2059.5225585002554,8,RISK_ON,0.9784504577999203
2024-06-24,93702.93279850026,12273.932798500256,7,NEUTRAL,0.8690122877488344
2024-06-25,94138.93279850026,12273.932798500256,7,NEUTRAL,0.8696189511222524
2024-06-26,94191.93279850026,12273.932798500256,7,NEUTRAL,0.8696923140460742
2024-06-27,94970.12353050026,1722.1235305002592,8,RISK_ON,0.9818666811573937
2024-06-28,94115.12353050026,1722.1235305002592,8,NEUTRAL,0.9817019468720969
2024-07-01,94831.12353050026,1722.1235305002592,8,NEUTRAL,0.9818401020004115
2024-07-02,96633.12353050026,1722.1235305002592,8,NEUTRAL,0.9821787450557085
2024-07-03,96659.12353050026,1722.1235305002592,8,NEUTRAL,0.9821835387328248
2024-07-04,96626.12353050026,1722.1235305002592,8,NEUTRAL,0.9821774540095601
2024-07-05,96379.12353050026,1722.1235305002592,8,NEUTRAL,0.982131778465953
2024-07-08,96868.12353050026,1722.1235305002592,8,NEUTRAL,0.9822219790398022
2024-07-09,98696.12353050026,1722.1235305002592,8,RISK_ON,0.9825512546096294
2024-07-10,97144.12353050026,1722.1235305002592,8,NEUTRAL,0.9822724888761843
2024-07-11,96695.12353050026,1722.1235305002592,8,NEUTRAL,0.9821901718760713
2024-07-12,96318.12353050026,1722.1235305002592,8,RISK_ON,0.9821204621998795
2024-07-15,96941.12353050026,1722.1235305002592,8,RISK_ON,0.9822353665010037
2024-07-16,97392.12353050026,1722.1235305002592,8,RISK_ON,0.9823176303373142
2024-07-17,97209.12353050026,1722.1235305002592,8,RISK_ON,0.9822843425806639
2024-07-18,98072.12353050026,1722.1235305002592,8,RISK_ON,0.9824402341001143
2024-07-19,96322.12353050026,1722.1235305002592,8,NEUTRAL,0.9821212046892326
2024-07-22,95347.87721800026,88.87721800026156,8,RISK_ON,0.9990678636945733
2024-07-23,92659.87721800026,88.87721800026156,8,NEUTRAL,0.9990408230545011
2024-07-24,91728.88881800027,11659.888818000263,7,NEUTRAL,0.8728874952237271
2024-07-25,92053.88881800027,11659.888818000263,7,NEUTRAL,0.8733362710938477
2024-07-26,92601.85047300026,4959.850473000262,8,RISK_ON,0.9464389701969682
2024-07-29,92968.85047300026,4959.850473000262,8,RISK_ON,0.9466504055093089
2024-07-30,93094.85047300026,4959.850473000262,8,RISK_ON,0.9467226119618858
2024-07-31,94074.11583700027,4217.115837000265,8,RISK_ON,0.9551724106096606
2024-08-01,92237.24948800026,15340.249488000265,7,NEUTRAL,0.8336870453840238
2024-08-02,93466.24948800026,15340.249488000265,7,NEUTRAL,0.8358739162849395
2024-08-05,91137.42262900027,31269.422629000273,8,NEUTRAL,0.6568981025907329
2024-08-06,92660.42262900027,31269.422629000273,8,NEUTRAL,0.6625374486559511
2024-08-07,92630.42262900027,31269.422629000273,8,NEUTRAL,0.662428155442631
2024-08-08,92177.00771400027,30927.007714000272,8,NEUTRAL,0.6644824074788996
2024-08-09,92800.00771400027,30927.007714000272,8,NEUTRAL,0.6667348583707664
2024-08-12,92905.00771400027,30927.007714000272,8,NEUTRAL,0.6671115101867675
2024-08-13,92602.00771400027,30927.007714000272,8,NEUTRAL,0.6660222766495754
2024-08-14,92923.00771400027,30927.007714000272,8,RISK_ON,0.667175993601199
2024-08-15,92414.00771400027,30927.007714000272,8,NEUTRAL,0.665342857873753
2024-08-16,94803.53548800029,1899.5354880002778,8,RISK_ON,0.9799634530693139
2024-08-19,95774.53548800029,1899.5354880002778,8,RISK_ON,0.9801665914815293
2024-08-20,95966.53548800029,1899.5354880002778,8,RISK_ON,0.9802062721307908
2024-08-21,96227.53548800029,1899.5354880002778,8,RISK_ON,0.9802599590817
2024-08-22,95945.53548800029,1899.5354880002778,8,RISK_ON,0.9802019397949178
2024-08-23,96912.61547800028,1135.6154780002798,8,RISK_ON,0.9882820675884237
2024-08-26,95746.61547800028,1135.6154780002798,8,RISK_ON,0.9881393668869558
2024-08-27,95498.61547800028,1135.6154780002798,8,RISK_ON,0.9881085660528567
2024-08-28,96372.61547800028,1135.6154780002798,8,RISK_ON,0.9882164090663336
