portfolio_run,month,return_pct
money_cycle_reset_smt_confirm,2025-05,8.877402706500037
money_cycle_reset_smt_confirm,2025-06,7.346909378489852
money_cycle_reset_smt_confirm,2025-07,10.05494586898581
money_cycle_reset_smt_confirm,2025-08,15.10953690517649
money_cycle_reset_smt_confirm,2025-09,-0.8593120479326699
money_cycle_reset_smt_confirm,2025-10,1.9383272499978288
money_cycle_reset_smt_confirm,2025-11,1.1102278423669842
money_cycle_reset_smt_confirm,2025-12,0.8746477145170628
money_cycle_reset_smt_confirm,2026-01,2.374187408939532
money_cycle_reset_smt_confirm,2026-02,9.402936034840303
money_cycle_reset_smt_confirm,2026-03,-9.631334998344165
money_cycle_reset_smt_confirm,2026-04,-4.3592964552982005
money_cycle_reset_smt_confirm,2026-05,1.4198944731817154
combined,2025-05,8.15629764900001
combined,2025-06,4.816655195526853
combined,2025-07,7.11475364518015
combined,2025-08,17.246959146037398
combined,2025-09,-3.27760352169687
combined,2025-10,-0.2590749350327104
combined,2025-11,-0.6469014182710842
combined,2025-12,-3.280413277241989
combined,2026-01,4.290537323271049
combined,2026-02,3.908080418541915
combined,2026-03,-6.216288399622327
combined,2026-04,-2.6693403805748916
combined,2026-05,-0.5207375719696428
regime_switching,2025-05,6.446130893500035
regime_switching,2025-06,5.555477821844534
regime_switching,2025-07,8.340395578054395
regime_switching,2025-08,16.13037444096257
regime_switching,2025-09,-1.7168409549023322
regime_switching,2025-10,-2.8689281360956054
regime_switching,2025-11,-3.3932266188009264
regime_switching,2025-12,-4.696769116832744
regime_switching,2026-01,11.974426565328011
regime_switching,2026-02,3.5091413898203916
regime_switching,2026-03,-0.8045094965289379
regime_switching,2026-04,-3.1599012011386374
regime_switching,2026-05,-0.810785610300746
